600d9da9	GpGpG
6010277c	StreamLogBuffer
6010278c	dumpable
601027b4	DumpDeviceInformation
601027cc	ResetDeviceIds
601027ec	GetCurrentTime
6010310b	KSynCaptureBypassState
60103124	SynCaptureBypassOff
6010313a	SynCaptureBypassOn
6010314f	SynLoopbackMixState
60103165	SynLoopbackMixOff
60103179	SynLoopbackMixOn
6010318c	SynLoopbackState
6010319f	SynLoopbackOff
601031b0	SynLoopbackOn
601031c0	SynAgcState
601031ce	SynAgcOff
601031da	SynAgcOn
601031e5	SynNsState
601031f2	SynNsOff
601031fd	SynNsOn
60103207	SynAecState
60103215	SynAecOff
60103221	SynAecOn
60103238	BTA 4 Google V0.0.2 ARMGCC Newlib 
60103260	Jul 17 2019
6010326c	11:20:31
60103278	build at %s %s
601032e0	%02x 
601032e8	HCI EVT %s\n
601032f8	%s can't alloc buf!\n
60103310	HCI LE RSSI Error State!\n
60103334	HCI LE RSSI Value: %s%d \n
60103350	HCI LE RSSI Error Status!\n
6010337c	HCI LE TX PACKET COUNT %s\n
60103398	HCI LE RX PACKET COUNT %s\n
601033b4	%02x %02x %02x 
601033c4	btu_task up
601033d0	btu_process_quick_timer_evt
601033ec	btu_ Stop timer2
60103400	%02x:%02x:%02x:%02x:%02x:%02x
6010356c	GATT_RSP_READ_BY_GRP_TYPE
60103588	ATT_REQ_WRITE
60103598	ATT_RSP_WRITE
601035a8	ATT_CMD_WRITE
601035b8	ATT_SIGN_CMD_WRITE
601035cc	ATT_REQ_PREPARE_WRITE
601035e4	ATT_RSP_PREPARE_WRITE
601035fc	ATT_REQ_EXEC_WRITE
60103610	ATT_RSP_EXEC_WRITE
60103624	Reserved
60103630	ATT_HANDLE_VALUE_NOTIF
60103648	ATT_HANDLE_VALUE_IND
60103660	ATT_HANDLE_VALUE_CONF
60103678	ATT_OP_CODE_MAX
60103688	Exceeds Max Op Code
6010369c	0x%04x
601036a4	0x%08x
601036ac	0x%02x%02x%02x%02x%02x%02x%02x%02x
601036d0	%02x%02x%02x%02x%02x%02x%02x%02x
601036f4	Unknown UUID 0
60103704	Service Discovery
60103718	K1 before shift
60103743	lcalculated peer commitment
60103760	received peer commitment
6010378e	StackTrace
60103799	dumpable
601037a3	GetTaskStatistics
601037b5	dumpable
601037bf	CarawayBuildInfo
601037d0	dumpable
601037da	DumpCalibration
601037ea	dumpable
601037f4	StartBleHidOnOverride
6010380c	TraceBufferInitialize
60103824	RebootWithReason
60103837	TriggerUserGeneratedBugReport
60103857	HapticTriggers
60103868	GothamStreamState
6010387a	dumpable
60103884	GothamPrintState
60103897	AllowUartLogging
601038b4	FlashPartitionCrc
601038c8	PatternPlayerIsFrozen
601038e0	PatternPlayerUnfreeze
601038f8	PatternPlayerFreeze
6010390e	PlayPattern
6010391c	FactoryReset
6010392b	GothamBuildType
6010393b	dumpable
60103945	GetGothamBuildVersion
6010395b	dumpable
60103965	KvsEraseProp
60103974	KvsSetProp
60103981	KvsGetProp
6010398e	KvsPropertiesToLog
601039a3	BootloaderKvsMetadata
601039b9	dumpable
601039c3	KvsProperties
601039d1	dumpable
601039db	PersistKvsGet
601039eb	GetTime
601039f5	SetTime
601039ff	EnterFullRun
60103a0e	EnterOverdrive
60103a1f	ForceBatteryLevel
60103a33	KeepAwake
60103a3f	WakelockState
60103a4d	dumpable
60103a57	HardfaultBuffer
60103a69	SaveBugReport
60103a79	ClearSavedBugReport
60103a8f	GetSavedBugReport_
60103aa4	GetSavedBugReport
60103ab8	BugReport
60103ac4	GetRunningBootloaderPartition
60103ae2	dumpable
60103aec	GetKeyApplicationSignedWith
60103b08	dumpable
60103b12	GetRunningBootloaderVersion
60103b2e	dumpable
60103b38	GetExecutingPartitionId
60103b50	dumpable
60103b5a	GetBaselineData
60103b6c	CrashRegister
60103b7a	dumpable
60103b87	UxPatternLog
60103b94	dumpable
60115c54	BTA_DmBleScatternetEnable
60115c78	bta_lower_level_prm_cback
60115c94	bta_prm_hdl_event
60115ca8	BTA_PatchRam
60115cc7	`BTA_EnableBluetooth
60115cdc	BTA_DisableBluetooth
60115cf4	BTA_DmSetDeviceName
60115d08	BTA_DmSetVisibility
60115d1c	BTA_DmConfirm
60115d2c	BTA_DmAddDevice
60115d3c	BTA_DmAuthorizeReply
